numTacs,Time
1,1174
2,1247
3,1303
4,1355
5,1397
6,1441
7,1486
8,1519
9,1552
10,1582
11,1607
12,1630
13,1650
14,1665
15,1680
16,1694
17,1706
18,1718
19,1730
20,1742
21,1777
22,1793
23,1803
24,1812
25,1821
26,1830
27,1839
28,1848
29,1857
30,1865
