ComprRate-per-TrainPortion, 0.20, 0.25, 0.30, 0.35, 0.40, 0.45, 0.50, 0.55, 0.60, 0.65, 0.70, 0.75, 0.80, 0.85, 0.90, 0.95, 1.00
CR_round1, 1.12, 1.13, 1.16, 1.20, 1.21, 1.21, 1.23, 1.25, 1.26, 1.24, 1.24, 1.27, 1.27, 1.29, 1.36, 1.36, 1.38
CR_round2, 1.15, 1.26, 1.18, 1.21, 1.30, 1.30, 1.33, 1.39, 1.42, 1.44, 1.44, 1.44, 1.45, 1.46, 1.47, 1.48, 1.50
CR_round3, 1.09, 1.10, 1.14, 1.15, 1.25, 1.29, 1.29, 1.34, 1.38, 1.39, 1.39, 1.39, 1.39, 1.39, 1.39, 1.39, 1.51
CR_round4, 1.13, 1.14, 1.16, 1.28, 1.32, 1.33, 1.45, 1.47, 1.47, 1.48, 1.48, 1.48, 1.50, 1.51, 1.51, 1.52, 1.52
CR_round5, 1.11, 1.11, 1.11, 1.22, 1.28, 1.35, 1.37, 1.37, 1.42, 1.44, 1.44, 1.44, 1.45, 1.47, 1.47, 1.50, 1.54
