ComprRate-per-TrainPortion, 0.20, 0.25, 0.30, 0.35, 0.40, 0.45, 0.50, 0.55, 0.60, 0.65, 0.70, 0.75, 0.80, 0.85, 0.90, 0.95, 1.00
CR_round1, 1.12, 1.13, 1.21, 1.13, 1.26, 1.27, 1.34, 1.36, 1.37, 1.39, 1.40, 1.44, 1.44, 1.44, 1.48, 1.48, 1.50
CR_round2, 1.09, 1.13, 1.20, 1.22, 1.24, 1.24, 1.25, 1.27, 1.30, 1.30, 1.30, 1.30, 1.32, 1.34, 1.34, 1.34, 1.37
CR_round3, 1.01, 1.04, 1.07, 1.17, 1.18, 1.20, 1.22, 1.22, 1.23, 1.25, 1.25, 1.25, 1.25, 1.25, 1.25, 1.25, 1.26
CR_round4, 1.18, 1.15, 1.19, 1.26, 1.27, 1.33, 1.36, 1.36, 1.37, 1.39, 1.39, 1.39, 1.40, 1.41, 1.45, 1.45, 1.47
CR_round5, 1.11, 1.15, 1.12, 1.22, 1.23, 1.27, 1.30, 1.31, 1.33, 1.33, 1.33, 1.34, 1.34, 1.43, 1.46, 1.48, 1.49
