ComprRate-per-TrainPortion, 0.20, 0.25, 0.30, 0.35, 0.40, 0.45, 0.50, 0.55, 0.60, 0.65, 0.70, 0.75, 0.80, 0.85, 0.90, 0.95, 1.00
CR_round1, 1.08, 1.08, 1.10, 1.09, 1.11, 1.16, 1.17, 1.17, 1.18, 1.17, 1.18, 1.20, 1.20, 1.20, 1.23, 1.23, 1.27
CR_round2, 1.15, 1.06, 1.11, 1.08, 1.15, 1.16, 1.15, 1.16, 1.16, 1.18, 1.16, 1.20, 1.20, 1.26, 1.26, 1.26, 1.28
CR_round3, 1.08, 1.05, 1.07, 1.05, 1.07, 1.10, 1.07, 1.08, 1.07, 1.10, 1.14, 1.16, 1.16, 1.15, 1.17, 1.17, 1.17
CR_round4, 1.08, 1.09, 1.07, 1.07, 1.06, 1.06, 1.13, 1.12, 1.12, 1.12, 1.13, 1.14, 1.16, 1.16, 1.16, 1.16, 1.16
CR_round5, 1.08, 1.10, 1.11, 1.10, 1.11, 1.12, 1.12, 1.12, 1.12, 1.12, 1.14, 1.14, 1.16, 1.19, 1.20, 1.20, 1.21
