ComprRate-per-TrainPortion, 0.20, 0.25, 0.30, 0.35, 0.40, 0.45, 0.50, 0.55, 0.60, 0.65, 0.70, 0.75, 0.80, 0.85, 0.90, 0.95, 1.00
CR_round1, 1.30, 1.20, 1.30, 1.30, 1.32, 1.35, 1.36, 1.47, 1.50, 1.52, 1.53, 1.58, 1.63, 1.61, 1.58, 1.61, 1.63
CR_round2, 1.11, 1.07, 1.08, 1.10, 1.11, 1.14, 1.11, 1.14, 1.15, 1.16, 1.16, 1.17, 1.17, 1.17, 1.17, 1.17, 1.28
CR_round3, 1.17, 1.21, 1.22, 1.21, 1.21, 1.22, 1.22, 1.23, 1.27, 1.27, 1.33, 1.33, 1.33, 1.40, 1.42, 1.42, 1.42
CR_round4, 1.10, 1.13, 1.13, 1.15, 1.16, 1.19, 1.19, 1.20, 1.21, 1.24, 1.25, 1.25, 1.26, 1.26, 1.26, 1.27, 1.41
CR_round5, 1.17, 1.19, 1.20, 1.22, 1.23, 1.38, 1.38, 1.42, 1.42, 1.45, 1.47, 1.47, 1.46, 1.46, 1.48, 1.49, 1.66
