ComprRate-per-TrainPortion, 0.20, 0.25, 0.30, 0.35, 0.40, 0.45, 0.50, 0.55, 0.60, 0.65, 0.70, 0.75, 0.80, 0.85, 0.90, 0.95, 1.00
CR_round1, 1.12, 1.12, 1.17, 1.21, 1.21, 1.24, 1.27, 1.27, 1.32, 1.32, 1.35, 1.36, 1.37, 1.39, 1.44, 1.46, 1.47
CR_round2, 1.10, 1.11, 1.11, 1.13, 1.14, 1.17, 1.21, 1.22, 1.23, 1.26, 1.27, 1.29, 1.35, 1.41, 1.42, 1.44, 1.47
CR_round3, 1.06, 1.09, 1.08, 1.14, 1.16, 1.17, 1.21, 1.23, 1.23, 1.25, 1.25, 1.25, 1.25, 1.27, 1.28, 1.28, 1.32
CR_round4, 1.09, 1.12, 1.13, 1.17, 1.20, 1.22, 1.25, 1.28, 1.30, 1.35, 1.36, 1.39, 1.41, 1.46, 1.47, 1.47, 1.53
CR_round5, 1.06, 1.12, 1.12, 1.17, 1.23, 1.24, 1.26, 1.28, 1.28, 1.31, 1.34, 1.36, 1.37, 1.41, 1.42, 1.42, 1.47
