ComprRate-per-TrainPortion, 0.20, 0.25, 0.30, 0.35, 0.40, 0.45, 0.50, 0.55, 0.60, 0.65, 0.70, 0.75, 0.80, 0.85, 0.90, 0.95, 1.00
CR_round1, 1.01, 1.06, 1.00, 1.06, 1.06, 1.06, 1.14, 1.16, 1.21, 1.28, 1.33, 1.35, 1.36, 1.36, 1.36, 1.36, 1.36
CR_round2, 1.00, 1.00, 1.00, 1.00, 1.02, 1.02, 1.04, 1.06, 1.17, 1.22, 1.22, 1.39, 1.39, 1.39, 1.39, 1.39, 1.39
CR_round3, 1.02, 1.03, 1.00, 1.07, 1.07, 1.07, 1.09, 1.16, 1.15, 1.15, 1.16, 1.19, 1.19, 1.19, 1.19, 1.19, 1.19
CR_round4, 1.00, 1.00, 1.04, 1.01, 1.01, 1.01, 1.07, 1.13, 1.11, 1.11, 1.13, 1.22, 1.25, 1.27, 1.27, 1.27, 1.31
CR_round5, 1.08, 1.00, 1.00, 1.07, 1.08, 1.08, 1.21, 1.08, 1.12, 1.12, 1.12, 1.12, 1.12, 1.15, 1.15, 1.17, 1.17
