ComprRate-per-TrainPortion, 0.20, 0.25, 0.30, 0.35, 0.40, 0.45, 0.50, 0.55, 0.60, 0.65, 0.70, 0.75, 0.80, 0.85, 0.90, 0.95, 1.00
CR_round1, 1.03, 1.10, 1.12, 1.13, 1.15, 1.16, 1.16, 1.17, 1.23, 1.24, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23
CR_round2, 1.00, 1.04, 1.06, 1.08, 1.08, 1.11, 1.11, 1.11, 1.12, 1.13, 1.13, 1.15, 1.15, 1.15, 1.15, 1.15, 1.16
CR_round3, 1.01, 1.01, 1.04, 1.06, 1.07, 1.07, 1.10, 1.11, 1.12, 1.14, 1.14, 1.14, 1.15, 1.16, 1.17, 1.17, 1.17
CR_round4, 1.05, 1.05, 1.09, 1.09, 1.09, 1.09, 1.09, 1.10, 1.12, 1.12, 1.14, 1.14, 1.14, 1.14, 1.14, 1.14, 1.15
CR_round5, 1.04, 1.05, 1.06, 1.06, 1.06, 1.06, 1.08, 1.08, 1.10, 1.10, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.13
