| num_tacs_learned | time(s)_tacminer | time(s)_no_pruning | time(s)_no_grammar |
| 153 | 7.886 |  |  |
| 154 | 8.134 |  |  |
| 155 | 8.394 |  |  |
| 156 | 8.654 |  |  |
| 157 | 8.925 |  |  |
| 158 | 9.25 |  |  |
| 159 | 9.584 |  |  |
| 160 | 9.932 |  |  |
| 161 | 10.66 |  |  |
| 162 | 11.655 |  |  |
| 163 | 12.999 |  |  |
| 164 | 14.346 |  |  |
| 165 | 16.013 |  |  |
| 166 | 17.713 |  |  |
| 167 | 19.413 |  |  |
| 168 | 21.591 |  |  |
| 169 | 23.898 |  |  |
| 170 | 26.297 |  |  |
| 171 | 28.924 |  |  |
| 172 | 32.857 |  |  |
| 173 | 36.835 |  |  |
| 174 | 45.626 |  |  |
