| num_tacs_learned | time(s)_tacminer | time(s)_no_pruning | time(s)_no_grammar |
| 131 | 2.517 | 3.236 | 19.054 |
| 132 | 2.556 | 3.294 | 19.307 |
| 133 | 2.595 | 3.353 | 19.562 |
| 134 | 2.635 | 3.412 | 19.818 |
| 135 | 2.675 | 3.473 | 20.076 |
| 136 | 2.716 | 3.535 | 20.336 |
| 137 | 2.758 | 3.597 | 20.599 |
| 138 | 2.801 | 3.661 | 20.87 |
| 139 | 2.844 | 3.725 | 21.147 |
| 140 | 2.888 | 3.791 | 21.424 |
| 141 | 2.932 | 3.859 | 21.711 |
| 142 | 2.977 | 3.927 | 22 |
| 143 | 3.023 | 3.997 | 22.289 |
| 144 | 3.069 | 4.067 | 22.581 |
| 145 | 3.116 | 4.138 | 22.876 |
| 146 | 3.164 | 4.21 | 23.176 |
| 147 | 3.212 | 4.282 | 23.49 |
| 148 | 3.261 | 4.354 | 23.807 |
| 149 | 3.31 | 4.428 | 24.125 |
| 150 | 3.359 | 4.503 | 24.447 |
| 151 | 3.408 | 4.579 | 24.771 |
| 152 | 3.46 | 4.658 | 25.098 |
| 153 | 3.513 | 4.739 | 25.425 |
| 154 | 3.568 | 4.823 | 25.756 |
| 155 | 3.623 | 4.908 | 26.092 |
| 156 | 3.681 | 4.996 | 26.429 |
| 157 | 3.739 | 5.085 | 26.766 |
| 158 | 3.798 | 5.174 | 27.11 |
| 159 | 3.86 | 5.264 | 27.456 |
| 160 | 3.923 | 5.355 | 27.808 |
| 161 | 3.986 | 5.446 | 28.166 |
| 162 | 4.05 | 5.537 | 28.529 |
| 163 | 4.116 | 5.631 | 28.896 |
| 164 | 4.183 | 5.727 | 29.274 |
| 165 | 4.25 | 5.823 | 29.655 |
| 166 | 4.318 | 5.922 | 30.04 |
| 167 | 4.386 | 6.023 | 30.433 |
| 168 | 4.454 | 6.131 | 30.829 |
| 169 | 4.522 | 6.24 | 31.231 |
| 170 | 4.591 | 6.35 | 31.636 |
| 171 | 4.66 | 6.46 | 32.042 |
| 172 | 4.731 | 6.58 | 32.451 |
| 173 | 4.803 | 6.709 | 32.86 |
| 174 | 4.875 | 6.847 | 33.276 |
| 175 | 4.948 | 6.992 | 33.694 |
| 176 | 5.024 | 7.137 | 34.116 |
| 177 | 5.108 | 7.282 | 34.555 |
| 178 | 5.199 | 7.428 | 35.002 |
| 179 | 5.29 | 7.575 | 35.452 |
| 180 | 5.382 | 7.725 | 35.908 |
| 181 | 5.476 | 7.882 | 36.388 |
| 182 | 5.574 | 8.04 | 36.881 |
| 183 | 5.674 | 8.199 | 37.384 |
| 184 | 5.776 | 8.369 | 37.901 |
| 185 | 5.88 | 8.547 | 38.427 |
| 186 | 5.985 | 8.725 | 38.971 |
| 187 | 6.093 | 8.91 | 39.522 |
| 188 | 6.204 | 9.117 | 40.079 |
| 189 | 6.315 | 9.326 | 40.64 |
| 190 | 6.427 | 9.545 | 41.206 |
| 191 | 6.541 | 9.77 | 41.779 |
| 192 | 6.655 | 10.006 | 42.369 |
| 193 | 6.77 | 10.266 | 42.963 |
| 194 | 6.893 | 10.539 | 43.557 |
| 195 | 7.032 | 10.82 | 44.162 |
| 196 | 7.176 | 11.115 | 44.769 |
| 197 | 7.321 | 11.417 | 45.385 |
| 198 | 7.471 | 11.72 | 46.01 |
| 199 | 7.621 | 12.04 | 46.64 |
| 200 | 7.774 | 12.363 | 47.27 |
| 201 | 7.952 | 12.716 | 47.92 |
| 202 | 8.14 | 13.146 | 48.588 |
| 203 | 8.338 | 13.593 | 49.265 |
| 204 | 8.539 | 14.04 | 49.96 |
| 205 | 8.743 | 14.511 | 50.662 |
| 206 | 8.948 | 15.037 | 51.527 |
| 207 | 9.156 | 15.586 | 52.431 |
| 208 | 9.365 | 16.151 | 53.382 |
| 209 | 9.578 | 16.761 | 54.428 |
| 210 | 9.798 | 17.372 | 55.488 |
| 211 | 10.025 | 17.99 | 56.806 |
| 212 | 10.254 | 18.615 | 58.131 |
| 213 | 10.499 | 19.262 | 59.486 |
| 214 | 10.751 | 19.927 | 60.851 |
| 215 | 11.014 | 20.638 | 62.259 |
| 216 | 11.28 | 21.363 | 63.714 |
| 217 | 11.563 | 22.092 | 65.185 |
| 218 | 11.849 | 22.838 | 66.678 |
| 219 | 12.135 | 23.696 | 68.188 |
| 220 | 12.424 | 24.614 | 69.788 |
| 221 | 12.715 | 25.57 | 71.411 |
| 222 | 13.016 | 26.774 | 73.072 |
| 223 | 13.35 | 28.229 | 74.733 |
| 224 | 13.694 | 29.692 | 76.443 |
| 225 | 14.085 | 31.282 | 78.211 |
| 226 | 14.497 | 32.892 | 80.132 |
| 227 | 14.915 | 34.663 | 82.065 |
| 228 | 15.341 | 36.859 | 84.307 |
| 229 | 15.774 | 39.389 | 86.703 |
| 230 | 16.237 | 42.468 | 89.102 |
| 231 | 16.712 | 64.912 | 91.647 |
| 232 | 17.207 | 90.838 | 94.242 |
| 233 | 17.704 | 137.212 | 97.008 |
| 234 | 18.225 | 183.613 | 100.239 |
| 235 | 18.776 | 238.954 | 103.803 |
| 236 | 19.431 |  | 107.626 |
| 237 | 20.328 |  | 111.469 |
| 238 | 21.35 |  | 115.448 |
| 239 | 22.51 |  | 119.434 |
| 240 | 23.963 |  | 123.561 |
| 241 | 25.562 |  | 127.735 |
| 242 | 29.327 |  | 131.94 |
