| num_tacs_learned | time(s)_tacminer | time(s)_no_pruning | time(s)_no_grammar |
| 134 | 2.132 | 4.133 |  |
| 135 | 2.161 | 4.213 |  |
| 136 | 2.19 | 4.293 |  |
| 137 | 2.219 | 4.374 |  |
| 138 | 2.248 | 4.455 |  |
| 139 | 2.278 | 4.54 |  |
| 140 | 2.308 | 4.629 |  |
| 141 | 2.338 | 4.72 |  |
| 142 | 2.368 | 4.811 |  |
| 143 | 2.399 | 4.904 |  |
| 144 | 2.43 | 5.023 |  |
| 145 | 2.461 | 5.145 |  |
| 146 | 2.492 | 5.271 |  |
| 147 | 2.524 | 5.403 |  |
| 148 | 2.556 | 5.542 |  |
| 149 | 2.588 | 5.687 |  |
| 150 | 2.62 | 5.835 |  |
| 151 | 2.652 | 5.999 |  |
| 152 | 2.684 | 6.167 |  |
| 153 | 2.717 | 6.337 |  |
| 154 | 2.75 | 6.514 |  |
| 155 | 2.783 | 6.693 |  |
| 156 | 2.816 | 6.883 |  |
| 157 | 2.85 | 7.075 |  |
| 158 | 2.884 | 7.27 |  |
| 159 | 2.918 | 7.47 |  |
| 160 | 2.952 | 7.675 |  |
| 161 | 2.988 | 7.893 |  |
| 162 | 3.024 | 8.111 |  |
| 163 | 3.06 | 8.334 |  |
| 164 | 3.097 | 8.56 |  |
| 165 | 3.134 | 8.787 |  |
| 166 | 3.171 | 9.031 |  |
| 167 | 3.208 | 9.283 |  |
| 168 | 3.246 | 9.537 |  |
| 169 | 3.284 | 9.803 |  |
| 170 | 3.322 | 10.073 |  |
| 171 | 3.36 | 10.365 |  |
| 172 | 3.399 | 10.663 |  |
| 173 | 3.438 | 11.082 |  |
| 174 | 3.477 | 11.508 |  |
| 175 | 3.516 | 11.952 |  |
| 176 | 3.555 | 12.407 |  |
| 177 | 3.595 | 12.92 |  |
| 178 | 3.635 | 13.452 |  |
| 179 | 3.675 | 14.034 |  |
| 180 | 3.716 | 14.632 |  |
| 181 | 3.757 | 15.256 |  |
| 182 | 3.799 | 15.916 |  |
| 183 | 3.843 | 16.759 |  |
| 184 | 3.888 | 17.648 |  |
| 185 | 3.933 | 21.641 |  |
| 186 | 3.979 | 25.744 |  |
| 187 | 4.025 | 31.109 |  |
| 188 | 4.072 | 39.596 |  |
| 189 | 4.12 | 69.126 |  |
| 190 | 4.168 | 98.73 |  |
| 191 | 4.217 | 128.378 |  |
| 192 | 4.266 | 167.772 |  |
| 193 | 4.316 | 209.025 |  |
